Rainfall - (MM), Year, Statistics, Country, ISO3
33.4, 2004, Apr Average, Portugal, PRT
65.4, 2004, May Average, Portugal, PRT
7.4, 2004, Jun Average, Portugal, PRT
2.7, 2004, Jul Average, Portugal, PRT
32.4, 2004, Aug Average, Portugal, PRT
18.5, 2004, Sep Average, Portugal, PRT
173.4, 2004, Oct Average, Portugal, PRT
41.9, 2004, Nov Average, Portugal, PRT
40.9, 2004, Dec Average, Portugal, PRT
9.6, 2005, Jan Average, Portugal, PRT
36.2, 2005, Feb Average, Portugal, PRT
56.4, 2005, Mar Average, Portugal, PRT
39.3, 2005, Apr Average, Portugal, PRT
41.7, 2005, May Average, Portugal, PRT
7.6, 2005, Jun Average, Portugal, PRT
2.5, 2005, Jul Average, Portugal, PRT
4.7, 2005, Aug Average, Portugal, PRT
15.3, 2005, Sep Average, Portugal, PRT
190.9, 2005, Oct Average, Portugal, PRT
80.0, 2005, Nov Average, Portugal, PRT
66.6, 2005, Dec Average, Portugal, PRT
63.6, 2006, Jan Average, Portugal, PRT
83.5, 2006, Feb Average, Portugal, PRT
115.1, 2006, Mar Average, Portugal, PRT
62.3, 2006, Apr Average, Portugal, PRT
16.6, 2006, May Average, Portugal, PRT
47.3, 2006, Jun Average, Portugal, PRT
10.2, 2006, Jul Average, Portugal, PRT
20.1, 2006, Aug Average, Portugal, PRT
56.2, 2006, Sep Average, Portugal, PRT
207.8, 2006, Oct Average, Portugal, PRT
203.3, 2006, Nov Average, Portugal, PRT
69.4, 2006, Dec Average, Portugal, PRT
44.8, 2007, Jan Average, Portugal, PRT
125.5, 2007, Feb Average, Portugal, PRT
35.4, 2007, Mar Average, Portugal, PRT
74.4, 2007, Apr Average, Portugal, PRT
80.5, 2007, May Average, Portugal, PRT
45.7, 2007, Jun Average, Portugal, PRT
6.7, 2007, Jul Average, Portugal, PRT
18.1, 2007, Aug Average, Portugal, PRT
56.2, 2007, Sep Average, Portugal, PRT
50.9, 2007, Oct Average, Portugal, PRT
77.8, 2007, Nov Average, Portugal, PRT
38.4, 2007, Dec Average, Portugal, PRT
79.2, 2008, Jan Average, Portugal, PRT
114.1, 2008, Feb Average, Portugal, PRT
38.6, 2008, Mar Average, Portugal, PRT
157.8, 2008, Apr Average, Portugal, PRT
99.0, 2008, May Average, Portugal, PRT
13.6, 2008, Jun Average, Portugal, PRT
3.4, 2008, Jul Average, Portugal, PRT
9.0, 2008, Aug Average, Portugal, PRT
43.8, 2008, Sep Average, Portugal, PRT
104.2, 2008, Oct Average, Portugal, PRT
45.1, 2008, Nov Average, Portugal, PRT
99.2, 2008, Dec Average, Portugal, PRT
147.4, 2009, Jan Average, Portugal, PRT
75.1, 2009, Feb Average, Portugal, PRT
24.5, 2009, Mar Average, Portugal, PRT
52.5, 2009, Apr Average, Portugal, PRT
31.0, 2009, May Average, Portugal, PRT
37.9, 2009, Jun Average, Portugal, PRT
8.2, 2009, Jul Average, Portugal, PRT
5.6, 2009, Aug Average, Portugal, PRT
17.9, 2009, Sep Average, Portugal, PRT
97.7, 2009, Oct Average, Portugal, PRT
87.8, 2009, Nov Average, Portugal, PRT
277.9, 2009, Dec Average, Portugal, PRT
173.8, 2010, Jan Average, Portugal, PRT
252.5, 2010, Feb Average, Portugal, PRT
148.8, 2010, Mar Average, Portugal, PRT
83.3, 2010, Apr Average, Portugal, PRT
51.9, 2010, May Average, Portugal, PRT
50.3, 2010, Jun Average, Portugal, PRT
5.6, 2010, Jul Average, Portugal, PRT
4.0, 2010, Aug Average, Portugal, PRT
30.3, 2010, Sep Average, Portugal, PRT
144.5, 2010, Oct Average, Portugal, PRT
107.8, 2010, Nov Average, Portugal, PRT
220.1, 2010, Dec Average, Portugal, PRT
103.9, 2011, Jan Average, Portugal, PRT
99.4, 2011, Feb Average, Portugal, PRT
109.0, 2011, Mar Average, Portugal, PRT
93.1, 2011, Apr Average, Portugal, PRT
73.3, 2011, May Average, Portugal, PRT
12.7, 2011, Jun Average, Portugal, PRT
4.6, 2011, Jul Average, Portugal, PRT
26.9, 2011, Aug Average, Portugal, PRT
21.6, 2011, Sep Average, Portugal, PRT
73.1, 2011, Oct Average, Portugal, PRT
149.5, 2011, Nov Average, Portugal, PRT
30.4, 2011, Dec Average, Portugal, PRT
27.6, 2012, Jan Average, Portugal, PRT
8.3, 2012, Feb Average, Portugal, PRT
23.7, 2012, Mar Average, Portugal, PRT
89.0, 2012, Apr Average, Portugal, PRT
58.7, 2012, May Average, Portugal, PRT
12.3, 2012, Jun Average, Portugal, PRT
5.9, 2012, Jul Average, Portugal, PRT
8.2, 2012, Aug Average, Portugal, PRT
56.9, 2012, Sep Average, Portugal, PRT
136.2, 2012, Oct Average, Portugal, PRT
154.0, 2012, Nov Average, Portugal, PRT
119.2, 2012, Dec Average, Portugal, PRT
121.9, 2013, Jan Average, Portugal, PRT
93.9, 2013, Feb Average, Portugal, PRT
244.8, 2013, Mar Average, Portugal, PRT
59.5, 2013, Apr Average, Portugal, PRT
33.5, 2013, May Average, Portugal, PRT
12.7, 2013, Jun Average, Portugal, PRT
7.1, 2013, Jul Average, Portugal, PRT
2.8, 2013, Aug Average, Portugal, PRT
54.3, 2013, Sep Average, Portugal, PRT
159.2, 2013, Oct Average, Portugal, PRT
26.5, 2013, Nov Average, Portugal, PRT
106.7, 2013, Dec Average, Portugal, PRT
159.5, 2014, Jan Average, Portugal, PRT
152.5, 2014, Feb Average, Portugal, PRT
61.8, 2014, Mar Average, Portugal, PRT
61.5, 2014, Apr Average, Portugal, PRT
33.1, 2014, May Average, Portugal, PRT
29.2, 2014, Jun Average, Portugal, PRT
15.6, 2014, Jul Average, Portugal, PRT
4.1, 2014, Aug Average, Portugal, PRT
97.9, 2014, Sep Average, Portugal, PRT
113.8, 2014, Oct Average, Portugal, PRT
183.9, 2014, Nov Average, Portugal, PRT
37.9, 2014, Dec Average, Portugal, PRT
72.8, 2015, Jan Average, Portugal, PRT
36.9, 2015, Feb Average, Portugal, PRT
34.8, 2015, Mar Average, Portugal, PRT
75.6, 2015, Apr Average, Portugal, PRT
14.8, 2015, May Average, Portugal, PRT
32.0, 2015, Jun Average, Portugal, PRT
4.6, 2015, Jul Average, Portugal, PRT
8.0, 2015, Aug Average, Portugal, PRT
22.8, 2015, Sep Average, Portugal, PRT
150.4, 2015, Oct Average, Portugal, PRT
45.6, 2015, Nov Average, Portugal, PRT
52.0, 2015, Dec Average, Portugal, PRT
178.3, 2016, Jan Average, Portugal, PRT
110.3, 2016, Feb Average, Portugal, PRT
70.0, 2016, Mar Average, Portugal, PRT
129.3, 2016, Apr Average, Portugal, PRT
115.8, 2016, May Average, Portugal, PRT
8.3, 2016, Jun Average, Portugal, PRT
10.8, 2016, Jul Average, Portugal, PRT
3.4, 2016, Aug Average, Portugal, PRT
21.3, 2016, Sep Average, Portugal, PRT
88.7, 2016, Oct Average, Portugal, PRT
118.4, 2016, Nov Average, Portugal, PRT
75.6, 2016, Dec Average, Portugal, PRT
46.6, 2017, Jan Average, Portugal, PRT
141.3, 2017, Feb Average, Portugal, PRT
72.3, 2017, Mar Average, Portugal, PRT
33.1, 2017, Apr Average, Portugal, PRT
56.2, 2017, May Average, Portugal, PRT
17.6, 2017, Jun Average, Portugal, PRT
13.8, 2017, Jul Average, Portugal, PRT
15.4, 2017, Aug Average, Portugal, PRT
4.3, 2017, Sep Average, Portugal, PRT
23.3, 2017, Oct Average, Portugal, PRT
59.8, 2017, Nov Average, Portugal, PRT
78.4, 2017, Dec Average, Portugal, PRT
87.3, 2018, Jan Average, Portugal, PRT
87.6, 2018, Feb Average, Portugal, PRT
242.1, 2018, Mar Average, Portugal, PRT
115.7, 2018, Apr Average, Portugal, PRT
43.9, 2018, May Average, Portugal, PRT
46.6, 2018, Jun Average, Portugal, PRT
9.2, 2018, Jul Average, Portugal, PRT
1.6, 2018, Aug Average, Portugal, PRT
16.5, 2018, Sep Average, Portugal, PRT
97.1, 2018, Oct Average, Portugal, PRT
157.8, 2018, Nov Average, Portugal, PRT
42.8, 2018, Dec Average, Portugal, PRT
57.0, 2019, Jan Average, Portugal, PRT
20.9, 2019, Feb Average, Portugal, PRT
38.6, 2019, Mar Average, Portugal, PRT
83.7, 2019, Apr Average, Portugal, PRT
13.8, 2019, May Average, Portugal, PRT
16.5, 2019, Jun Average, Portugal, PRT
6.9, 2019, Jul Average, Portugal, PRT
12.6, 2019, Aug Average, Portugal, PRT
24.8, 2019, Sep Average, Portugal, PRT
77.7, 2019, Oct Average, Portugal, PRT
127.5, 2019, Nov Average, Portugal, PRT
164.0, 2019, Dec Average, Portugal, PRT
75.0, 2020, Jan Average, Portugal, PRT
15.1, 2020, Feb Average, Portugal, PRT
103.6, 2020, Mar Average, Portugal, PRT
134.7, 2020, Apr Average, Portugal, PRT
60.4, 2020, May Average, Portugal, PRT
14.3, 2020, Jun Average, Portugal, PRT
7.2, 2020, Jul Average, Portugal, PRT
16.3, 2020, Aug Average, Portugal, PRT
35.9, 2020, Sep Average, Portugal, PRT
114.7, 2020, Oct Average, Portugal, PRT
106.8, 2020, Nov Average, Portugal, PRT
97.5, 2020, Dec Average, Portugal, PRT
